SchoolId;SchoolName;SchoolAddress;SchoolZipCode;SchoolCity;SchoolRefNumber;SchoolPhone
1;Ecole élémentaire;17 RUE DE LA DEMOISELLE;28410;ABONDANT;;0237487983
2;Ecole maternelle;13 GRANDE RUE;28410;ABONDANT;;0237487129
3;Ecole élémentaire;12 RUE DE LA BASSE COUR;28800;ALLUYES;;0237475467
4;Ecole élémentaire;32 RUE DE LA MAIRIE;28300;AMILLY;;0237329833
5;Ecole maternelle;RUE DES VAUROUX;28300;AMILLY;;0237329888
6;Ecole primaire - Jean Goujon;5 IMPASSE DES ECOLES;28260;ANET;;0237419101
7;Ecole élémentaire;RUE COMTESSE DE MONS;28480;ARGENVILLIERS;;0237294455
8;Ecole maternelle - Henri Matisse;5 ROUTE DES BOIS;28290;ARROU;;0237970353
9;Ecole élémentaire - Liliane Vaisbuch;5 AVENUE DE LA GARE;28290;ARROU;;0237970374
10;Ecole élémentaire;1 PLACE DE LA MAIRIE;28700;AUNAY-SOUS-AUNEAU;;0237318492
11;Ecole maternelle;6 PLACE DE LA MAIRIE;28700;AUNAY-SOUS-AUNEAU;;0237318705
12;Ecole primaire - Maurice Hurel;51 GRANDE RUE;28500;AUNAY-SOUS-CRECY;;0237826384
13;Ecole élémentaire - Emile Zola;6 RUE JULES FERRY;28700;AUNEAU;;0237317266
14;Ecole maternelle - Francine Coursaget;PLACE DU CHAMP DE FOIRE;28700;AUNEAU;;0237317470
15;Ecole élémentaire - Maurice Fanon;1 RUE MAURICE FANON;28700;AUNEAU;;0237317469
16;Ecole primaire;10 AVENUE SAINT EXUPERY;28330;AUTHON-DU-PERCHE;;0237490106
17;Ecole maternelle - Pont-sous-Gallardon;21 RUE DE L’ANCIEN PAVE;28320;BAILLEAU-ARMENONVILLE;;0237314522
18;Ecole élémentaire;RUE DU 19 MARS 1962;28320;BAILLEAU-ARMENONVILLE;;0237311352
19;Ecole maternelle - Charles Perrault;2 PLACE DES ECOLES;28120;BAILLEAU-LE-PIN;;0237253374
20;Ecole élémentaire - Jacques Prévert;3 RUE DE L’EGLISE;28120;BAILLEAU-LE-PIN;;0237254015
21;Ecole primaire;14 RUE DU BOIS HERBIN;28300;BAILLEAU-L’EVEQUE;;0237229092
22;Ecole maternelle - Nicolas Vanier;8 RUE DES COURRAZ;28630;BARJOUVILLE;;0237343687
23;Ecole élémentaire - Yann Arthus-Bertrand;3 RUE PIERRE DE RONSARD;28630;BARJOUVILLE;;0237340189
24;Ecole primaire - L’arc en ciel;12 RUE DU BOUT DE VIGNE;28310;BAUDREVILLE;;0237995255
25;Ecole élémentaire;18 RUE DES ECOLES;28140;BAZOCHES-EN-DUNOIS;;0237220187
26;Ecole maternelle;30 RUE EMMELINE;28480;BEAUMONT-LES-AUTELS;;0237294431
27;Ecole élémentaire;6 RUE DE L’ABBAYE;28240;BELHOMERT-GUEHOUVILLE;;0237370506
28;Ecole primaire;6 RUE DE LA MAIRIE;28630;BERCHERES-LES-PIERRES;;0237260161
29;Ecole primaire;78 BIS GRANDE RUE;28300;BERCHERES-ST-GERMAIN;;0237228094
30;Ecole élémentaire;6 RUE DE L’ECOLE;28260;BERCHERES-SUR-VESGRE;;0237820287
31;Ecole élémentaire;2 RUE DE L’AVRE;28270;BEROU-LA-MULOTIERE;;0237482061
32;Ecole maternelle - Martine Blanchard;1 RUE ROBERT PONT;28700;BEVILLE LE COMTE;;0237318563
33;Ecole élémentaire;19 RUE D’ALIGRE;28700;BEVILLE-LE-COMTE;;0237312179
34;Ecole primaire;3 RUE PIERRE LEFEBURE;28340;BOISSY-LES-PERCHE;;0237375279
35;Ecole primaire;1 RUE DU STADE;28150;BOISVILLE-LA-SAINT-PÈRE;;0237993501
36;Ecole élémentaire;9 RUE DE L’EGLISE;28150;BONCE;;0237262084
37;Ecole maternelle - Le Petit Poucet;RUELLE DES VIGNES;28800;BONNEVAL;;0237472376
38;Ecole élémentaire - Le Petit Prince;7 RUE DU BOIS CHEVALIER;28800;BONNEVAL;;0237473492
39;Ecole primaire;25 RUE DE CHATEAUNEUF;28130;BOUGLAINVAL;;0237228173
40;Ecole primaire;4 RUE DU ROSAIRE;28410;BOUTIGNY-PROUAIS;;0237430518
41;Ecole primaire;20 RUE DE LA MAIRIE;28800;BOUVILLE;;0237963972
42;Ecole maternelle - J. Desforges;8 AVENUE DU GENERAL DE GAULLE;28270;BREZOLLES;;0237482680
43;Ecole élémentaire - Les remparts;RUELLE DES REMPARTS;28270;BREZOLLES;;0237482287
44;Ecole maternelle - du Chat perché;19 RUE DU PERCHE;28160;BROU;;0237470078
45;Ecole élémentaire;25 BIS AVENUE DU G. DE GAULLE;28160;BROU;;0237470344
46;Ecole élémentaire - Martial Taugourdeau;15 RUE SAINT MARTIN;28410;BROUE;;0237432741
47;Ecole élémentaire;RUE DE LA MAIRIE;28400;BRUNELLES;;0237520104
48;Ecole primaire;RUE DES FOSSES;28410;BU;;0237821209
49;Ecole élémentaire - La Milhoue;17 RUE DE LA MAIRIE;28300;CHAMPHOL;;0237362942
50;Ecole maternelle - Les Alouettes;9 RUE DE LA MAIRIE;28300;CHAMPHOL;;0237214399
51;Ecole élémentaire;72 GRANDE RUE;28240;CHAMPROND-EN-GATINE;;0237373157
52;Ecole primaire;45 RUE DE CHARTRES;28400;CHAMPROND-EN-PERCHET;;0237525237
53;Ecole élémentaire;4 RUE DE LA MAIRIE;28120;CHARONVILLE;;0237269125
54;Ecole maternelle - Annie Fournier;IMPASSE MONTPENSIER;28000;CHARTRES;;0237342299
55;Ecole maternelle - Emile Zola;2 MAIL JEAN DE DUNOIS;28000;CHARTRES;;0237343395
56;Ecole élémentaire - Farman;6 RUE FARMAN;28000;CHARTRES;;0237341725
57;Ecole maternelle - Francine Coursaget;15 RUE SAINT ANDRE;28000;CHARTRES;;0237211131
58;Ecole élémentaire - François Villon;3 RUE DE LA PLANCHE AUX CARPES;28000;CHARTRES;;0237345177
59;Ecole élémentaire - George Sand;21 RUE GDES PIERRES COUVERTES;28000;CHARTRES;;0237343491
60;Ecole élémentaire - Henri 4;1 avenue François Mitterrand;28000;CHARTRES;;0236673110
61;Ecole maternelle - Henri 4;1 avenue François Mitterrand;28000;CHARTRES;;0236673120
62;Ecole élémentaire - Henri Matisse;3 ALLEE DES TROENES;28000;CHARTRES;;0237211296
63;Ecole élémentaire - Jacques Prévert;2 RUE FLORENT D’ILLIERS;28000;CHARTRES;;0237341174
64;Ecole élémentaire - Jules Ferry;34-36 RUE DE VILLAINES;28000;CHARTRES;;0237280329
65;Ecole maternelle - Jules Ferry;67 RUE DE VARIZE;28000;CHARTRES;;0237280958
66;Ecole élémentaire - La Brèche;10 PLACE DROUAISE;28000;CHARTRES;;0237214354
